m1,m2,K,overlap,overlap_frac,jaccard,random_expected_overlap,random_expected_jaccard
A_beh,B_act,25,7,0.28,0.16279069767441862,0.03374912252281441,0.0006754383594953125
A_beh,B_act,50,15,0.3,0.17647058823529413,0.13499649009125764,0.0013517897696550232
A_beh,B_act,100,52,0.52,0.35135135135135137,0.5399859603650305,0.0027072391575071746
A_beh,B_act,250,173,0.692,0.5290519877675841,3.3749122522814408,0.006795694248124389
A_beh,B_act,500,374,0.748,0.597444089456869,13.499649009125763,0.01368438338168482
A_beh,B_act,1000,769,0.769,0.6246953696181966,53.99859603650305,0.027748487707419948
A_beh,B_new,10,0,0.0,0.0,0.005399859603650305,0.0002700658960786432
A_beh,B_new,25,6,0.24,0.13636363636363635,0.03374912252281441,0.0006754383594953125
A_beh,B_new,50,15,0.3,0.17647058823529413,0.13499649009125764,0.0013517897696550232
A_beh,B_new,100,46,0.46,0.2987012987012987,0.5399859603650305,0.0027072391575071746
A_beh,B_new,250,150,0.6,0.42857142857142855,3.3749122522814408,0.006795694248124389
A_beh,B_new,500,335,0.67,0.5037593984962406,13.499649009125763,0.01368438338168482
A_beh,B_new,1000,729,0.729,0.5735641227380016,53.99859603650305,0.027748487707419948
A_beh,C_struct,10,1,0.1,0.05263157894736842,0.005399859603650306,0.0002700658960786432
A_beh,C_struct,25,4,0.16,0.08695652173913043,0.0337491225228144,0.0006754383594953123
A_beh,C_struct,50,10,0.2,0.1111111111111111,0.1349964900912576,0.001351789769655023
A_beh,C_struct,100,35,0.35,0.21212121212121213,0.5399859603650304,0.002707239157507174
A_beh,C_struct,250,110,0.44,0.28205128205128205,3.3749122522814408,0.006795694248124389
A_beh,C_struct,500,255,0.51,0.3422818791946309,13.499649009125763,0.01368438338168482
A_beh,C_struct,1000,543,0.543,0.37268359643102267,53.99859603650305,0.027748487707419948
A_beh,C_novol,10,2,0.2,0.1111111111111111,0.005399859603650306,0.0002700658960786432
A_beh,C_novol,25,4,0.16,0.08695652173913043,0.0337491225228144,0.0006754383594953123
A_beh,C_novol,50,12,0.24,0.13636363636363635,0.1349964900912576,0.001351789769655023
A_beh,C_novol,100,36,0.36,0.21951219512195122,0.5399859603650304,0.002707239157507174
A_beh,C_novol,250,122,0.488,0.32275132275132273,3.3749122522814408,0.006795694248124389
A_beh,C_novol,500,266,0.532,0.36239782016348776,13.499649009125763,0.01368438338168482
A_beh,C_novol,1000,555,0.555,0.38408304498269896,53.99859603650305,0.027748487707419948
A_beh,D_ig_cp,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
A_beh,D_ig_cp,25,1,0.04,0.02040816326530612,0.03374912252281441,0.0006754383594953125
A_beh,D_ig_cp,50,1,0.02,0.010101010101010102,0.13499649009125764,0.0013517897696550232
A_beh,D_ig_cp,100,5,0.05,0.02564102564102564,0.5399859603650305,0.0027072391575071746
A_beh,D_ig_cp,250,15,0.06,0.030927835051546393,3.3749122522814408,0.006795694248124389
A_beh,D_ig_cp,500,45,0.09,0.04712041884816754,13.499649009125763,0.01368438338168482
A_beh,D_ig_cp,1000,159,0.159,0.08636610537751223,53.99859603650305,0.027748487707419948
A_beh,D_ig_act,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
A_beh,D_ig_act,25,0,0.0,0.0,0.03374912252281441,0.0006754383594953125
A_beh,D_ig_act,50,0,0.0,0.0,0.13499649009125764,0.0013517897696550232
A_beh,D_ig_act,100,0,0.0,0.0,0.5399859603650305,0.0027072391575071746
A_beh,D_ig_act,250,0,0.0,0.0,3.3749122522814408,0.006795694248124389
A_beh,D_ig_act,500,0,0.0,0.0,13.499649009125763,0.01368438338168482
A_beh,D_ig_act,1000,70,0.07,0.03626943005181347,53.99859603650305,0.027748487707419948
A_beh,A_vol,10,1,0.1,0.05263157894736842,0.005399859603650305,0.0002700658960786432
A_beh,A_vol,25,7,0.28,0.16279069767441862,0.03374912252281441,0.0006754383594953125
A_beh,A_vol,50,13,0.26,0.14942528735632185,0.13499649009125764,0.0013517897696550232
A_beh,A_vol,100,46,0.46,0.2987012987012987,0.5399859603650305,0.0027072391575071746
A_beh,A_vol,250,152,0.608,0.4367816091954023,3.3749122522814408,0.006795694248124389
A_beh,A_vol,500,358,0.716,0.557632398753894,13.499649009125763,0.01368438338168482
A_beh,A_vol,1000,806,0.806,0.6750418760469011,53.99859603650305,0.027748487707419948
